Chromosome	Strand	CpG Island ID	Segment ID	CpG Island Start (bp)	CpG Island End (bp)
1	NA	4_CpG:27_strong-island	4_CpG:27_strong-island	3521705	3521924
1	NA	5_CpG:34_weak-island	5_CpG:34_weak-island	3660700	3661155
1	NA	6_CpG:45_weak-island	6_CpG:45_weak-island	3661735	3662237
1	NA	7_CpG:165_weak-island	7_CpG:165_weak-island	4481782	4483754
1	NA	8_CpG:47_strong-island	8_CpG:47_strong-island	4487028	4487689
1	NA	9_CpG:44_strong-island	9_CpG:44_strong-island	4561722	4562156
1	NA	10_CpG:24_strong-island	10_CpG:24_strong-island	4679265	4679478
1	NA	11_CpG:49_strong-island	11_CpG:49_strong-island	4775457	4775895
1	NA	12_CpG:73_strong-island	12_CpG:73_strong-island	4797640	4798184
1	NA	13_CpG:83_strong-island	13_CpG:83_strong-island	4847546	4848453
1	NA	14_CpG:77_weak-island	14_CpG:77_weak-island	5008638	5009792
1	NA	15_CpG:49_strong-island	15_CpG:49_strong-island	5073120	5073617
1	NA	16_CpG:85_strong-island	16_CpG:85_strong-island	5906509	5907555
1	NA	17_CpG:107_strong-island	17_CpG:107_strong-island	6204511	6205413
1	NA	18_CpG:29_weak-island	18_CpG:29_weak-island	6349163	6349523
1	NA	19_CpG:42_strong-island	19_CpG:42_strong-island	6372972	6373284
1	NA	20_CpG:36_strong-island	20_CpG:36_strong-island	6431281	6431693
1	NA	21_CpG:85_strong-island	21_CpG:85_strong-island	7078572	7079352
1	NA	22_CpG:64_weak-island	22_CpG:64_weak-island	7387827	7388675
1	NA	23_CpG:61_weak-island	23_CpG:61_weak-island	9289296	9290101
1	NA	24_CpG:97_strong-island	24_CpG:97_strong-island	9535350	9536349
1	NA	25_CpG:87_strong-island	25_CpG:87_strong-island	9689866	9690962
1	NA	26_CpG:89_strong-island	26_CpG:89_strong-island	9737641	9738726
1	NA	27_CpG:95_strong-island	27_CpG:95_strong-island	9787902	9788733
1	NA	28_CpG:40_strong-island	28_CpG:40_strong-island	9838246	9838611
1	NA	29_CpG:46_strong-island	29_CpG:46_strong-island	9933866	9934277
1	NA	30_CpG:128_strong-island	30_CpG:128_strong-island	9957199	9958411
1	NA	31_CpG:31_strong-island	31_CpG:31_strong-island	10028031	10028296
1	NA	32_CpG:60_strong-island	32_CpG:60_strong-island	10029826	10030360
1	NA	33_CpG:136_strong-island	33_CpG:136_strong-island	10222224	10223509
1	NA	34_CpG:45_weak-island	34_CpG:45_weak-island	10795380	10795966
1	NA	35_CpG:56_strong-island	35_CpG:56_strong-island	10983567	10984086
1	NA	36_CpG:44_strong-island	36_CpG:44_strong-island	11404141	11404546
1	NA	37_CpG:34_weak-island	37_CpG:34_weak-island	12980799	12981281
1	NA	38_CpG:98_strong-island	38_CpG:98_strong-island	12981566	12982865
1	NA	39_CpG:16_strong-island	39_CpG:16_strong-island	12986303	12986516
1	NA	40_CpG:30_weak-island	40_CpG:30_weak-island	13116379	13116750
1	NA	41_CpG:188_strong-island	41_CpG:188_strong-island	13362827	13364875
1	NA	42_CpG:101_strong-island	42_CpG:101_strong-island	13579243	13580258
1	NA	43_CpG:49_strong-island	43_CpG:49_strong-island	13650312	13650813
1	NA	44_CpG:35_strong-island	44_CpG:35_strong-island	14299828	14300117
1	NA	45_CpG:48_weak-island	45_CpG:48_weak-island	14496622	14497229
1	NA	46_CpG:68_strong-island	46_CpG:68_strong-island	14745232	14745884
1	NA	47_CpG:87_strong-island	47_CpG:87_strong-island	15276499	15277259
1	NA	48_CpG:60_strong-island	48_CpG:60_strong-island	15795672	15796189
1	NA	49_CpG:52_weak-island	49_CpG:52_weak-island	15882501	15883133
1	NA	50_CpG:41_strong-island	50_CpG:41_strong-island	16083037	16083452
1	NA	51_CpG:169_strong-island	51_CpG:169_strong-island	16094846	16096372
1	NA	52_CpG:46_strong-island	52_CpG:46_strong-island	16509814	16510174
1	NA	53_CpG:107_strong-island	53_CpG:107_strong-island	16608639	16609482
1	NA	54_CpG:25_strong-island	54_CpG:25_strong-island	16646845	16647124
1	NA	55_CpG:56_strong-island	55_CpG:56_strong-island	16655227	16655707
1	NA	56_CpG:35_strong-island	56_CpG:35_strong-island	17081598	17082052
1	NA	57_CpG:116_strong-island	57_CpG:116_strong-island	17086845	17088220
1	NA	58_CpG:23_weak-island	58_CpG:23_weak-island	17135548	17135876
1	NA	59_CpG:91_strong-island	59_CpG:91_strong-island	18048116	18048977
1	NA	60_CpG:25_weak-island	60_CpG:25_weak-island	19094652	19095004
1	NA	61_CpG:30_strong-island	61_CpG:30_strong-island	19199836	19200148
1	NA	62_CpG:35_weak-island	62_CpG:35_weak-island	19204021	19204485
1	NA	63_CpG:19_weak-island	63_CpG:19_weak-island	19226693	19226931
1	NA	64_CpG:45_strong-island	64_CpG:45_strong-island	20809969	20810378
1	NA	65_CpG:33_weak-island	65_CpG:33_weak-island	20880515	20880892
1	NA	66_CpG:15_weak-island	66_CpG:15_weak-island	20925366	20925583
1	NA	67_CpG:20_strong-island	67_CpG:20_strong-island	20941743	20941971
1	NA	68_CpG:72_strong-island	68_CpG:72_strong-island	21068950	21069775
1	NA	69_CpG:99_strong-island	69_CpG:99_strong-island	21951084	21952205
1	NA	70_CpG:104_strong-island	70_CpG:104_strong-island	22540016	22541024
1	NA	71_CpG:62_strong-island	71_CpG:62_strong-island	22812521	22813203
1	NA	72_CpG:27_weak-island	72_CpG:27_weak-island	23108726	23109101
1	NA	73_CpG:114_strong-island	73_CpG:114_strong-island	23262857	23263893
1	NA	74_CpG:83_strong-island	74_CpG:83_strong-island	23389520	23390239
1	NA	75_CpG:131_strong-island	75_CpG:131_strong-island	23768661	23770043
1	NA	76_CpG:76_strong-island	76_CpG:76_strong-island	23928558	23929393
1	NA	77_CpG:38_strong-island	77_CpG:38_strong-island	24012210	24012553
1	NA	78_CpG:108_strong-island	78_CpG:108_strong-island	24106480	24107395
1	NA	79_CpG:71_strong-island	79_CpG:71_strong-island	24593360	24594016
1	NA	80_CpG:54_strong-island	80_CpG:54_strong-island	24685355	24685922
1	NA	81_CpG:75_strong-island	81_CpG:75_strong-island	25886690	25887525
1	NA	82_CpG:137_strong-island	82_CpG:137_strong-island	30929953	30930871
1	NA	83_CpG:145_strong-island	83_CpG:145_strong-island	31005671	31007061
1	NA	84_CpG:50_strong-island	84_CpG:50_strong-island	32229385	32229891
1	NA	85_CpG:73_strong-island	85_CpG:73_strong-island	33726398	33727414
1	NA	86_CpG:91_strong-island	86_CpG:91_strong-island	33776670	33777295
1	NA	87_CpG:44_strong-island	87_CpG:44_strong-island	33814456	33814794
1	NA	88_CpG:62_strong-island	88_CpG:62_strong-island	33870975	33871535
1	NA	89_CpG:20_strong-island	89_CpG:20_strong-island	33963833	33964087
1	NA	90_CpG:20_weak-island	90_CpG:20_weak-island	33964302	33964538
1	NA	91_CpG:31_strong-island	91_CpG:31_strong-island	33964747	33964951
1	NA	92_CpG:16_strong-island	92_CpG:16_strong-island	33965110	33965313
1	NA	93_CpG:18_strong-island	93_CpG:18_strong-island	34062891	34063093
1	NA	94_CpG:52_strong-island	94_CpG:52_strong-island	34068329	34068706
1	NA	95_CpG:25_strong-island	95_CpG:25_strong-island	34234787	34235038
1	NA	96_CpG:64_strong-island	96_CpG:64_strong-island	34496086	34496983
1	NA	97_CpG:43_weak-island	97_CpG:43_weak-island	34516252	34516809
1	NA	98_CpG:19_strong-island	98_CpG:19_strong-island	34529599	34529811
1	NA	99_CpG:42_strong-island	99_CpG:42_strong-island	34636374	34636685
1	NA	100_CpG:37_strong-island	100_CpG:37_strong-island	34734915	34735264
1	NA	101_CpG:81_strong-island	101_CpG:81_strong-island	34807103	34807930
1	NA	102_CpG:40_strong-island	102_CpG:40_strong-island	34858546	34858904
1	NA	103_CpG:71_strong-island	103_CpG:71_strong-island	34899379	34900010
1	NA	104_CpG:33_strong-island	104_CpG:33_strong-island	34906740	34907023
1	NA	105_CpG:47_strong-island	105_CpG:47_strong-island	34986879	34987484
1	NA	106_CpG:81_strong-island	106_CpG:81_strong-island	36125305	36126061
1	NA	107_CpG:46_weak-island	107_CpG:46_weak-island	36160382	36161031
1	NA	108_CpG:53_strong-island	108_CpG:53_strong-island	36300736	36301257
1	NA	109_CpG:48_strong-island	109_CpG:48_strong-island	36326076	36326542
1	NA	110_CpG:61_strong-island	110_CpG:61_strong-island	36364461	36365058
1	NA	111_CpG:74_strong-island	111_CpG:74_strong-island	36425529	36426175
1	NA	112_CpG:44_strong-island	112_CpG:44_strong-island	36501720	36502153
1	NA	113_CpG:72_strong-island	113_CpG:72_strong-island	36528111	36529000
1	NA	1_CpG:128_strong-island	1_CpG:128_strong-island	36568608	36569851
1	NA	114_CpG:38_strong-island	114_CpG:38_strong-island	36603755	36604135
1	NA	115_CpG:145_weak-island	115_CpG:145_weak-island	36613652	36615335
1	NA	116_CpG:32_strong-island	116_CpG:32_strong-island	36739929	36740283
1	NA	117_CpG:58_strong-island	117_CpG:58_strong-island	36748167	36748714
1	NA	118_CpG:50_weak-island	118_CpG:50_weak-island	36766466	36766993
1	NA	119_CpG:44_strong-island	119_CpG:44_strong-island	36827653	36828038
1	NA	120_CpG:18_strong-island	120_CpG:18_strong-island	36835929	36836165
1	NA	121_CpG:154_strong-island	121_CpG:154_strong-island	36995686	36996967
1	NA	122_CpG:17_weak-island	122_CpG:17_weak-island	37086092	37086331
1	NA	123_CpG:62_strong-island	123_CpG:62_strong-island	37356685	37357352
1	NA	124_CpG:67_strong-island	124_CpG:67_strong-island	37486622	37487260
1	NA	125_CpG:56_strong-island	125_CpG:56_strong-island	37597160	37597765
1	NA	126_CpG:88_strong-island	126_CpG:88_strong-island	37776158	37776973
1	NA	127_CpG:78_strong-island	127_CpG:78_strong-island	37921457	37922169
1	NA	128_CpG:32_strong-island	128_CpG:32_strong-island	37932176	37932669
1	NA	129_CpG:38_strong-island	129_CpG:38_strong-island	37947207	37947627
1	NA	130_CpG:41_strong-island	130_CpG:41_strong-island	38053791	38054304
1	NA	131_CpG:101_strong-island	131_CpG:101_strong-island	38054668	38055520
1	NA	132_CpG:167_strong-island	132_CpG:167_strong-island	38185893	38187053
1	NA	133_CpG:26_weak-island	133_CpG:26_weak-island	38266910	38267190
1	NA	134_CpG:99_strong-island	134_CpG:99_strong-island	38683638	38684929
1	NA	135_CpG:131_strong-island	135_CpG:131_strong-island	38892646	38893621
1	NA	136_CpG:46_strong-island	136_CpG:46_strong-island	38954709	38955047
1	NA	137_CpG:47_weak-island	137_CpG:47_weak-island	39044344	39044897
1	NA	138_CpG:103_strong-island	138_CpG:103_strong-island	39250263	39251280
1	NA	139_CpG:100_strong-island	139_CpG:100_strong-island	39424279	39425462
1	NA	140_CpG:81_strong-island	140_CpG:81_strong-island	39534968	39535842
1	NA	141_CpG:98_strong-island	141_CpG:98_strong-island	39592432	39593210
1	NA	142_CpG:100_strong-island	142_CpG:100_strong-island	39633370	39634372
1	NA	143_CpG:72_weak-island	143_CpG:72_weak-island	39707286	39708060
1	NA	144_CpG:127_strong-island	144_CpG:127_strong-island	39957317	39958304
1	NA	145_CpG:30_weak-island	145_CpG:30_weak-island	40323401	40323721
1	NA	146_CpG:17_weak-island	146_CpG:17_weak-island	40382654	40382864
1	NA	147_CpG:111_strong-island	147_CpG:111_strong-island	40737851	40738929
1	NA	148_CpG:28_strong-island	148_CpG:28_strong-island	40847363	40847656
1	NA	149_CpG:26_strong-island	149_CpG:26_strong-island	42548529	42548783
1	NA	150_CpG:40_weak-island	150_CpG:40_weak-island	42741342	42741856
1	NA	151_CpG:31_strong-island	151_CpG:31_strong-island	42743450	42743773
