Chromosome Name	Strand	Ensembl Transcript ID	Ensembl Transcript ID	Transcript Start (bp)	Transcript End (bp)
7	1	ENST00000385499	ENST00000385499	157956020	157956126
17	-1	ENST00000362804	ENST00000362804	15981807	15981911
9	1	ENST00000408695	ENST00000408695	134884755	134884842
6	1	ENST00000384872	ENST00000384872	52117106	52117191
6	-1	ENST00000384700	ENST00000384700	111436166	111436272
6	1	ENST00000408385	ENST00000408385	65741007	65741106
20	-1	ENST00000411203	ENST00000411203	18187200	18187495
5	1	ENST00000411204	ENST00000411204	29984692	29984995
14	-1	ENST00000363289	ENST00000363289	91339958	91340070
9	1	ENST00000363261	ENST00000363261	108482079	108482393
6	1	ENST00000383945	ENST00000383945	68391970	68392078
17	-1	ENST00000391250	ENST00000391250	2179163	2179257
3	1	ENST00000364582	ENST00000364582	176968040	176968143
2	1	ENST00000365146	ENST00000365146	223071254	223071361
4	1	ENST00000363585	ENST00000363585	39755889	39755997
22	1	ENST00000365046	ENST00000365046	19165445	19165555
16	-1	ENST00000390926	ENST00000390926	11275471	11275594
15	1	ENST00000365391	ENST00000365391	23047099	23047180
14	1	ENST00000385009	ENST00000385009	100590396	100590471
9	-1	ENST00000411205	ENST00000411205	131172274	131172561
15	-1	ENST00000391248	ENST00000391248	43082354	43082518
18	1	ENST00000411206	ENST00000411206	9913917	9914018
18	1	ENST00000363957	ENST00000363957	12088426	12088531
2	1	ENST00000408711	ENST00000408711	75708587	75708801
15	1	ENST00000365067	ENST00000365067	23014857	23014938
1	1	ENST00000390903	ENST00000390903	210042982	210043069
7	1	ENST00000408501	ENST00000408501	14781556	14781673
12	1	ENST00000365600	ENST00000365600	94193677	94193779
2	-1	ENST00000363366	ENST00000363366	132729585	132730218
2	-1	ENST00000411207	ENST00000411207	113144686	113144772
22	1	ENST00000385197	ENST00000385197	40626894	40626962
15	-1	ENST00000411208	ENST00000411208	100130965	100131239
Y	-1	ENST00000408864	ENST00000408864	11800551	11800633
4	-1	ENST00000362232	ENST00000362232	113788968	113789035
15	1	ENST00000363090	ENST00000363090	22991161	22991241
X	1	ENST00000385278	ENST00000385278	109185213	109185310
3	-1	ENST00000411209	ENST00000411209	83820150	83820450
22	1	ENST00000411210	ENST00000411210	48518329	48518656
18	-1	ENST00000408436	ENST00000408436	17964562	17964688
6	1	ENST00000392734	ENST00000392734	100690758	100691260
9	-1	ENST00000407265	ENST00000407265	30660962	30661964
2	-1	ENST00000392819	ENST00000392819	157775264	157776245
12	-1	ENST00000384761	ENST00000384761	39234230	39234336
9	-1	ENST00000404726	ENST00000404726	30548885	30549563
5	1	ENST00000411030	ENST00000411030	81410002	81410297
2	-1	ENST00000384236	ENST00000384236	127176885	127176988
14	1	ENST00000385199	ENST00000385199	100576309	100576389
9	1	ENST00000362944	ENST00000362944	14840427	14840533
19	-1	ENST00000362926	ENST00000362926	51501567	51501674
7	1	ENST00000391148	ENST00000391148	45795709	45795812
9	-1	ENST00000384871	ENST00000384871	85774483	85774592
9	-1	ENST00000365604	ENST00000365604	66197963	66198083
Y	1	ENST00000384104	ENST00000384104	19107785	19107946
3	1	ENST00000384601	ENST00000384601	100109993	100110099
7	1	ENST00000408813	ENST00000408813	22862757	22862830
14	1	ENST00000411031	ENST00000411031	31981298	31981594
20	-1	ENST00000365053	ENST00000365053	43621811	43621929
1	1	ENST00000361960	ENST00000361960	50564529	50565269
2	1	ENST00000385490	ENST00000385490	156986954	156987056
2	-1	ENST00000385492	ENST00000385492	156974904	156975004
7	-1	ENST00000385508	ENST00000385508	156789843	156790073
