Chromosome	Strand	Annotation ID	Segment ID	Start (bp)	End (bp)
1	1	ENSMUST00000072177	ENSMUSG00000009772	134210702	134212702
1	1	ENSMUST00000082125	ENSMUSG00000009772	134210702	134212702
1	-1	ENSMUST00000132064	ENSMUSG00000025909	8349555	8351555
1	-1	ENSMUST00000140295	ENSMUSG00000025909	8349555	8351555
1	-1	ENSMUST00000140302	ENSMUSG00000025909	8350758	8352758
1	-1	ENSMUST00000115484	ENSMUSG00000025909	8351263	8353263
1	-1	ENSMUST00000135046	ENSMUSG00000025909	8351505	8353505
1	-1	ENSMUST00000027042	ENSMUSG00000025909	8351555	8353555
1	-1	ENSMUST00000115488	ENSMUSG00000025909	8351555	8353555
1	-1	ENSMUST00000126626	ENSMUSG00000033569	25122320	25124320
1	-1	ENSMUST00000135518	ENSMUSG00000033569	25122394	25124394
1	-1	ENSMUST00000146592	ENSMUSG00000033569	25122394	25124394
1	-1	ENSMUST00000151309	ENSMUSG00000033569	25122394	25124394
1	-1	ENSMUST00000041838	ENSMUSG00000033569	25122395	25124395
1	-1	ENSMUST00000153568	ENSMUSG00000033569	25122535	25124535
1	-1	ENSMUST00000126096	ENSMUSG00000033569	25146298	25148298
1	-1	ENSMUST00000027312	ENSMUSG00000026134	33508655	33510655
1	-1	ENSMUST00000097795	ENSMUSG00000026134	33535176	33537176
1	-1	ENSMUST00000055313	ENSMUSG00000047528	58712960	58714960
1	-1	ENSMUST00000113567	ENSMUSG00000026211	75480399	75482399
1	-1	ENSMUST00000064469	ENSMUSG00000026211	75481206	75483206
1	-1	ENSMUST00000155084	ENSMUSG00000026211	75485108	75487108
1	-1	ENSMUST00000027412	ENSMUSG00000026211	75485751	75487751
1	-1	ENSMUST00000113565	ENSMUSG00000026211	75490910	75492910
1	-1	ENSMUST00000127507	ENSMUSG00000026211	75490911	75492911
1	-1	ENSMUST00000086694	ENSMUSG00000073602	109048516	109050516
1	-1	ENSMUST00000166100	ENSMUSG00000073602	109048537	109050537
1	-1	ENSMUST00000035420	ENSMUSG00000036815	125226715	125228715
1	-1	ENSMUST00000112603	ENSMUSG00000036815	125226718	125228718
1	-1	ENSMUST00000112606	ENSMUSG00000036815	125226718	125228718
1	-1	ENSMUST00000140361	ENSMUSG00000036815	125520415	125522415
1	1	ENSMUST00000161971	ENSMUSG00000005763	167716811	167718811
1	1	ENSMUST00000005907	ENSMUSG00000005763	167716819	167718819
1	1	ENSMUST00000027849	ENSMUSG00000005763	167716853	167718853
1	1	ENSMUST00000161559	ENSMUSG00000005763	167716895	167718895
1	1	ENSMUST00000086002	ENSMUSG00000005763	167716895	167718895
1	1	ENSMUST00000027817	ENSMUSG00000026532	176100906	176102906
1	1	ENSMUST00000156092	ENSMUSG00000026532	176143615	176145615
1	1	ENSMUST00000048941	ENSMUSG00000038599	184493137	184495137
1	-1	ENSMUST00000138711	ENSMUSG00000086461	7337486	7339486
1	-1	ENSMUST00000153695	ENSMUSG00000042501	10312800	10314800
1	-1	ENSMUST00000035577	ENSMUSG00000042501	10312807	10314807
1	1	ENSMUST00000048613	ENSMUSG00000057715	11402185	11404185
1	1	ENSMUST00000171690	ENSMUSG00000057715	11402192	11404192
1	1	ENSMUST00000141512	ENSMUSG00000057715	11402192	11404192
1	1	ENSMUST00000135014	ENSMUSG00000057715	11402192	11404192
1	1	ENSMUST00000137824	ENSMUSG00000057715	11402192	11404192
1	1	ENSMUST00000115412	ENSMUSG00000057715	11402589	11404589
1	1	ENSMUST00000141339	ENSMUSG00000057715	11506751	11508751
1	-1	ENSMUST00000027071	ENSMUSG00000025937	13612925	13614925
1	1	ENSMUST00000038447	ENSMUSG00000041809	20939768	20941768
1	1	ENSMUST00000115216	ENSMUSG00000079640	27097345	27099345
1	1	ENSMUST00000027226	ENSMUSG00000026058	32227650	32229650
1	-1	ENSMUST00000115071	ENSMUSG00000037529	34598819	34600819
1	-1	ENSMUST00000170295	ENSMUSG00000046337	36617538	36619538
1	-1	ENSMUST00000114981	ENSMUSG00000046337	36654807	36656807
1	-1	ENSMUST00000057826	ENSMUSG00000046337	36654820	36656820
1	-1	ENSMUST00000162875	ENSMUSG00000026090	37666521	37668521
1	-1	ENSMUST00000160589	ENSMUSG00000026090	37692830	37694830
1	1	ENSMUST00000114765	ENSMUSG00000079588	40860445	40862445
1	1	ENSMUST00000097767	ENSMUSG00000041763	43988846	43990846
1	1	ENSMUST00000087933	ENSMUSG00000041763	43988846	43990846
1	1	ENSMUST00000094964	ENSMUSG00000041144	46121582	46123582
1	1	ENSMUST00000069293	ENSMUSG00000041144	46121582	46123582
1	1	ENSMUST00000097735	ENSMUSG00000038349	55461231	55463231
1	1	ENSMUST00000027174	ENSMUSG00000026020	59739852	59741852
1	1	ENSMUST00000132833	ENSMUSG00000026012	60771643	60773643
1	1	ENSMUST00000027165	ENSMUSG00000026012	60801201	60803201
1	1	ENSMUST00000153207	ENSMUSG00000026012	60801245	60803245
1	1	ENSMUST00000138768	ENSMUSG00000052062	61683397	61685397
1	1	ENSMUST00000075374	ENSMUSG00000052062	61683397	61685397
1	1	ENSMUST00000046451	ENSMUSG00000052062	61683816	61685816
1	1	ENSMUST00000094906	ENSMUSG00000052062	61683816	61685816
1	1	ENSMUST00000046673	ENSMUSG00000052062	61683816	61685816
1	-1	ENSMUST00000138535	ENSMUSG00000085842	61811988	61813988
1	-1	ENSMUST00000130699	ENSMUSG00000085842	61831317	61833317
1	-1	ENSMUST00000119142	ENSMUSG00000062209	68076759	68078759
1	-1	ENSMUST00000121473	ENSMUSG00000062209	68076759	68078759
1	-1	ENSMUST00000097703	ENSMUSG00000062209	68084614	68086614
1	1	ENSMUST00000065425	ENSMUSG00000053153	69871561	69873561
1	1	ENSMUST00000161310	ENSMUSG00000053153	69996194	69998194
1	1	ENSMUST00000087282	ENSMUSG00000053153	70041375	70043375
1	-1	ENSMUST00000087268	ENSMUSG00000050296	71287663	71289663
1	-1	ENSMUST00000077946	ENSMUSG00000038608	80495647	80497647
1	-1	ENSMUST00000169279	ENSMUSG00000038608	80495647	80497647
1	-1	ENSMUST00000166732	ENSMUSG00000038608	80498161	80500161
1	-1	ENSMUST00000097681	ENSMUSG00000038608	80498161	80500161
1	1	ENSMUST00000113443	ENSMUSG00000026159	82834057	82836057
1	1	ENSMUST00000063380	ENSMUSG00000026159	82834057	82836057
1	1	ENSMUST00000113444	ENSMUSG00000026159	82834057	82836057
1	1	ENSMUST00000123618	ENSMUSG00000062590	88049354	88051354
1	1	ENSMUST00000135973	ENSMUSG00000062590	88049358	88051358
1	1	ENSMUST00000155168	ENSMUSG00000062590	88049358	88051358
1	1	ENSMUST00000113309	ENSMUSG00000062590	88049372	88051372
1	1	ENSMUST00000027434	ENSMUSG00000062590	88049384	88051384
1	1	ENSMUST00000131412	ENSMUSG00000062590	88049389	88051389
1	1	ENSMUST00000113235	ENSMUSG00000026254	89108488	89110488
1	1	ENSMUST00000050876	ENSMUSG00000026254	89108488	89110488
1	1	ENSMUST00000076362	ENSMUSG00000026254	89108488	89110488
1	1	ENSMUST00000113236	ENSMUSG00000026254	89108520	89110520
1	1	ENSMUST00000148138	ENSMUSG00000036251	90172235	90174235
1	-1	ENSMUST00000069620	ENSMUSG00000055866	93310560	93312560
1	-1	ENSMUST00000164778	ENSMUSG00000055866	93310560	93312560
1	1	ENSMUST00000120301	ENSMUSG00000034066	95406655	95408655
1	1	ENSMUST00000122402	ENSMUSG00000034066	95406688	95408688
1	-1	ENSMUST00000043336	ENSMUSG00000040710	97482260	97484260
1	-1	ENSMUST00000166379	ENSMUSG00000040648	99600624	99602624
1	-1	ENSMUST00000112845	ENSMUSG00000040648	99600624	99602624
1	-1	ENSMUST00000042509	ENSMUSG00000040648	99600624	99602624
1	-1	ENSMUST00000171129	ENSMUSG00000040648	99602241	99604241
1	-1	ENSMUST00000163249	ENSMUSG00000040648	99602241	99604241
1	1	ENSMUST00000171995	ENSMUSG00000067028	101667341	101669341
1	1	ENSMUST00000086738	ENSMUSG00000067028	101667341	101669341
1	1	ENSMUST00000163150	ENSMUSG00000067028	101667341	101669341
1	-1	ENSMUST00000064091	ENSMUSG00000026384	121554321	121556321
1	-1	ENSMUST00000163435	ENSMUSG00000026384	121584377	121586377
1	-1	ENSMUST00000164269	ENSMUSG00000026384	121587400	121589400
1	-1	ENSMUST00000163179	ENSMUSG00000026384	121620631	121622631
1	-1	ENSMUST00000161954	ENSMUSG00000049690	127808196	127810196
1	-1	ENSMUST00000094609	ENSMUSG00000049690	127808213	127810213
1	-1	ENSMUST00000112583	ENSMUSG00000049690	127808213	127810213
1	-1	ENSMUST00000162877	ENSMUSG00000049690	127808224	127810224
1	-1	ENSMUST00000057846	ENSMUSG00000049690	127809319	127811319
1	-1	ENSMUST00000163051	ENSMUSG00000049690	127809319	127811319
1	-1	ENSMUST00000159934	ENSMUSG00000049690	127922453	127924453
1	1	ENSMUST00000036288	ENSMUSG00000056211	129997882	129999882
